// Compost colors for divinerpg. You may add your own colors, change existing ones, or remove colors that aren't needed.
acid, #ff7f7f
advanced_mushroom_stew, #b28e66
alicanto_spawn_egg, #66655e
amthirmis_backsword, #fffef5
amthirmis_bow, #ffdad3
amthirmis_cannon, #936122
amthirmis_claw, #b17876
amthirmis_disk, #ffb4c0
amthirmis_dissipator, #e0cacd
amthirmis_hammer, #ed6f72
amthirmis_lump, #3e000a
amthirmis_staff, #fff2f5
ancient_brick_door, #4e52
ancient_key, #7882
angelic_boots, #afb8b6
angelic_chestplate, #d6c0c5
angelic_helmet, #a7aeac
angelic_leggings, #bcc6c3
angry_glinthop_spawn_egg, #975857
anthracite, #46474b
apalachia_axe, #a43eb8
apalachia_blade, #a241b2
apalachia_blitz, #a45bb6
apalachia_boots, #9a5097
apalachia_bow, #e119d9
apalachia_cadillion_spawn_egg, #ffc5ed
apalachia_chestplate, #d955d3
apalachia_chunk, #c555d6
apalachia_door, #f88af0
apalachia_dust, #d361e1
apalachia_fragments, #ca5cda
apalachia_gem, #d75ce6
apalachia_heart, #a548b8
apalachia_helmet, #914b90
apalachia_hoe, #9a3caa
apalachia_leggings, #a84aa4
apalachia_phaser, #9e3eae
apalachia_pickaxe, #9b3dac
apalachia_sapling, #cf3ad4
apalachia_shickaxe, #b647ca
apalachia_shovel, #a740b9
apalachia_slicer, #ee69ff
apalachia_soul, #a23ec8
apalachia_tallgrass, #7a3da5
apalachia_tomo_spawn_egg, #a7789e
aqua_ball, #61c0fb
aqua_torch, #a0f5e1
aquamarine, #8a4ab
aquamarine_seeds, #11ab9a
aquastrive_boots, #3a9ae3
aquastrive_chestplate, #4db9ff
aquastrive_helmet, #3998e0
aquastrive_leggings, #3c9de8
aquatic_blaze_rod, #55a7e7
aquatic_coating_template, #2cacf2
aquatic_dagger, #4ea0e4
aquatic_ingot, #62cfff
aquatic_maul, #4893cf
aquatic_pellets, #76c3f8
aquatic_trident, #4898d4
aquaton, #4eaef8
aquatooth_maul, #98a093
aquatooth_sword, #899896
arcana_brush, #afcfff
arcana_bush, #9079bf
arcanite_blade, #6997aa
arcanite_blaster, #5fb9d6
arcanite_ladder, #36abd2
arcanite_tubes, #7dd4de
arcanite_vines_head, #4879be
arcanium, #4bcced
arcanium_attractor, #5c86e6
arcanium_reflector, #6289e0
arcanium_saber, #6584cc
arcanium_torch, #5778b9
arid_warrior_spawn_egg, #a19158
arksiane_backsword, #b25a61
arksiane_bow, #a75f36
arksiane_cannon, #be9040
arksiane_claw, #daa093
arksiane_disk, #ea5773
arksiane_dissipator, #aa1f3e
arksiane_hammer, #ea3d37
arksiane_lump, #911b22
arksiane_staff, #ffc3cc
arlemite_axe, #619037
arlemite_boots, #6ba068
arlemite_chestplate, #90d280
arlemite_helmet, #629657
arlemite_hoe, #61782d
arlemite_ingot, #83e45e
arlemite_leggings, #6baa62
arlemite_nugget, #6bc851
arlemite_pickaxe, #588232
arlemite_shickaxe, #4d9139
arlemite_shovel, #6f983d
arlemite_stabber, #519b40
armor_pouch, #d7842d
auroraoak_door, #ffffff
auroraoak_sapling, #d7beff
awakened_halite_boots, #ffffff
awakened_halite_chestplate, #ffffff
awakened_halite_helmet, #ffffff
awakened_halite_leggings, #ffffff
backsword_template, #ededed
bacon, #ffaaaa
band_of_lheiva_hunting, #4457e4
barred_door, #5b9366
base_spawn_crystal, #a0a1a7
bedrock_axe, #6e624e
bedrock_boots, #4a4a4a
bedrock_chestplate, #707070
bedrock_chunk, #5f5f5f
bedrock_helmet, #4a4a4a
bedrock_hoe, #69583a
bedrock_leggings, #505050
bedrock_maul, #645f5a
bedrock_pickaxe, #665b46
bedrock_shovel, #6e614b
bedrock_sword, #5c5a54
bedrock_upgrade_template, #6b505a
black_ender_sword, #504857
bloodgem, #eb5a9d
bloodgem_sword, #bf467d
blossomed_weedwood_vine, #a26cbe
blubbertusk_spawn_egg, #555452
blue_armor_pouch, #5ab9e1
blue_diamond_chunk, #23c9ff
blue_divine_sword, #39a8d9
blue_ender_boots, #697f79
blue_ender_chestplate, #618e87
blue_ender_helmet, #5b7973
blue_ender_leggings, #5c7d79
blue_ender_sword, #435aae
blue_fairy_lights, #a4e0ff
blue_fire, #5ee0ff
blue_rupee_boots, #2944b8
blue_rupee_chestplate, #375cde
blue_rupee_helmet, #233aab
blue_rupee_leggings, #2a46bc
boiled_egg, #fbf8f0
bow_template, #ebeded
